"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"North East","Male",34,"30-34",2019,39,"US",55.2405128205128,44.8702564102564,55.8738060411978,44.3910821815005,0.876022971842784
"North East","Male",39,"35-39",2019,31,"US",50.0777419354839,45.3793548387097,51.9135133279892,46.2029825702043,0.833691869046838
"North East","Male",44,"40-44",2019,38,"US",53.9502631578947,48.6447368421053,53.4516018971714,46.5862399570808,0.85859476534207
"North East","Male",49,"45-49",2019,40,"US",50.99575,45.103,54.0413568599565,42.251833695264,0.826684873528169
"North East","Male",54,"50-54",2019,44,"US",48.5163636363636,49.2979545454546,47.3793719930758,48.0918521521402,0.794264192162221
"North East","Male",59,"55-59",2019,57,"US",46.3689473684211,48.8563157894737,44.6045847827939,50.0942816994233,0.781008443297421
"North East","Male",64,"60-64",2019,47,"US",44.8823404255319,51.5029787234043,44.9802926422406,50.6152728687193,0.789756066889699
"North East","Male",69,"65-69",2019,41,"US",44.2778048780488,52.6565853658537,44.1967519783971,54.3833102572574,0.812513132344882
"North East","Male",74,"70-74",2019,35,"US",44.0651428571429,51.6102857142857,44.9240351376246,51.1199453486422,0.793521606745013
"North East","Male",79,"75-79",2019,23,"US",42.3647826086957,53.2921739130435,40.9750943051874,52.0038551139939,0.758161413672893
"North East","Male",84,"80-84",2019,13,"US",42.4707692307692,49.5161538461539,40.8822116375271,51.9929708696938,0.757036446795169
"North East","Male",85,"85_plus",2019,12,"US",37.5,56.1983333333333,37.4566400172945,56.2351857579718,0.754485284125498
"North West","Female",20,"under_20",2019,107,"US",54.6156074766355,42.6190654205608,55.6271605908621,41.2333254309741,0.841725523791011
"North West","Female",24,"20-24",2019,108,"US",53.9187962962963,43.4863888888889,54.8501763157391,42.0758535474466,0.837537763125471
"North West","Female",29,"25-29",2019,114,"US",53.1923684210526,45.1476315789474,53.0240078493981,44.3506400682159,0.831983685019837
"North West","Female",34,"30-34",2019,163,"US",52.9560122699387,44.3398773006135,52.4963217847945,42.6783787079674,0.80808848681688
"North West","Female",39,"35-39",2019,139,"US",52.2453956834533,43.9171942446043,52.7692045942702,43.947801346664,0.82447318750356
"North West","Female",44,"40-44",2019,161,"US",50.5062111801242,46.638198757764,49.3058732903575,46.7584292493236,0.805080927915287
"North West","Female",49,"45-49",2019,153,"US",49.9034640522876,45.0670588235294,49.3220075709585,45.8454350868432,0.796688521498649
"North West","Female",54,"50-54",2019,166,"US",47.5934337349398,45.8015060240964,47.0869206053284,45.6207928880458,0.76729658689931
"North West","Female",59,"55-59",2019,151,"US",45.5511258278146,46.4333112582782,45.6836013368778,47.1466725779969,0.765780496591946
"North West","Female",64,"60-64",2019,134,"US",45.3066417910448,47.7855223880597,47.0252199467097,48.2635015911139,0.791723519547567
"North West","Female",69,"65-69",2019,131,"US",43.4140458015267,50.8916030534351,43.6704722783211,50.7263123395603,0.776378665733743
"North West","Female",74,"70-74",2019,141,"US",41.5866666666667,49.8170212765958,41.0458183471017,49.3930545075493,0.734864790037501
"North West","Female",79,"75-79",2019,70,"US",39.4421428571429,50.2111428571429,39.5769239729836,50.1688859506327,0.725416440547062
"North West","Female",84,"80-84",2019,32,"US",38.0234375,50.6875,37.6318593540614,51.8252485423926,0.718055952182537
"North West","Female",85,"85_plus",2019,40,"US",33.02075,50.596,32.4626747240176,51.6484025128291,0.64698194980694
"North West","Male",20,"under_20",2019,90,"US",55.4957777777778,48.3437777777778,55.5839212557661,45.7749985784858,0.883726854559074
"North West","Male",24,"20-24",2019,98,"US",54.6497959183674,47.2457142857143,55.1246675316746,46.7544204851752,0.884999743267811
"North West","Male",29,"25-29",2019,90,"US",51.9903333333333,46.4886666666667,53.5684839996786,44.4482246851052,0.840833154635513
"North West","Male",34,"30-34",2019,128,"US",53.539921875,46.007890625,53.4141389685725,44.7737884074072,0.841618651957806
"North West","Male",39,"35-39",2019,104,"US",52.4923076923077,47.9645192307692,53.6094391426758,48.2352686776224,0.874987932180373
"North West","Male",44,"40-44",2019,137,"US",51.8955474452555,46.3599270072993,51.8738232098581,45.9304353336572,0.83065875598018
"North West","Male",49,"45-49",2019,128,"US",50.537421875,49.10453125,50.5141379076846,50.4554436629106,0.852152848943591
"North West","Male",54,"50-54",2019,134,"US",49.7138059701493,48.644328358209,49.3849491768924,48.9085026743534,0.82535546423567
"North West","Male",59,"55-59",2019,130,"US",49.0919230769231,48.5945384615385,48.1152067719357,49.0197820127537,0.811195601464982
"North West","Male",64,"60-64",2019,108,"US",45.559537037037,49.780462962963,45.7047567796521,49.4559569169921,0.787515809176104
"North West","Male",69,"65-69",2019,106,"US",46.2298113207547,51.4859433962264,46.6135680910513,50.6806983901804,0.808407076705005
"North West","Male",74,"70-74",2019,123,"US",44.759593495935,54.3904878048781,44.476745026416,54.4663390199193,0.8160931368848
"North West","Male",79,"75-79",2019,72,"US",43.7344444444444,53.4198611111111,43.9960815936254,53.9620454492155,0.807090484762512
"North West","Male",84,"80-84",2019,36,"US",36.9172222222222,50.2983333333333,35.8175696580509,51.6745643077871,0.693971638813929
"North West","Male",85,"85_plus",2019,29,"US",38.1872413793103,54.0796551724138,35.6611670793688,52.6537395094024,0.701235331241759
"Northern Ireland","Female",20,"under_20",2019,53,"US",57.2328301886792,44.5479245283019,57.0686121202511,43.4359692664255,0.887399047727205
"Northern Ireland","Female",24,"20-24",2019,81,"US",54.8937037037037,45.2844444444445,55.3315403785188,45.5513481542528,0.877754449245306
"Northern Ireland","Female",29,"25-29",2019,69,"US",52.6215942028986,46.0505797101449,54.488930771688,44.3897572982351,0.854109736973624
